Core checksum filename	Core checksum
O11-02_S2_L003_R1_001.fastq.gz	261abe8f79654a52617cd944a3f81da8
O11-02_S2_L004_R1_001.fastq.gz	ae978097c1164596bd4b27a845683a86
O11-03_S12_L005_R1_001.fastq.gz	b7095f25904cbf1211adadbeeb75c066
O11-03_S12_L006_R1_001.fastq.gz	26acb118445384e19a870103e7641013
O11-03_S12_L007_R1_001.fastq.gz	cd91dc2f398ce68eacb83e89ca87273d
O11-03_S12_L008_R1_001.fastq.gz	f26a77dc38b269ec3af5971a5ae6f2b6
O11-04_S16_L005_R1_001.fastq.gz	90dc9e3db71243849f58c1ddbf77f096
O11-04_S16_L006_R1_001.fastq.gz	895756c6a517c6708b240e21091ff7ff
O11-04_S16_L007_R1_001.fastq.gz	ec4c5c64d80e35eb05f8588afd00ce7f
O11-04_S16_L008_R1_001.fastq.gz	44f85157c972f66e894f934b956f34a3
O11-05_S15_L005_R1_001.fastq.gz	59361af819d713211143700e5b26a0d0
O11-05_S15_L006_R1_001.fastq.gz	acf5bc8549653eef401f88e319796843
O11-05_S15_L007_R1_001.fastq.gz	7bc386b6bb8053abe1b942e77dfa9e7f
O11-05_S15_L008_R1_001.fastq.gz	b31ab46af618f852cb2ac6efbea95c5c
O11-06_S1_L001_R1_001.fastq.gz	326812ff26b490ba416eed83c5115ab3
O11-06_S1_L002_R1_001.fastq.gz	f100022f069e69b0046c66b91ad05c79
O11-06_S1_L003_R1_001.fastq.gz	ff9cb66abdda5768f16d1378d75f43d2
O11-06_S1_L004_R1_001.fastq.gz	485d88298f1b16fad0c1ca7cbdd45ce9
O11-07_S6_L001_R1_001.fastq.gz	20fc0408c5bb1a5bf33531bbf5ff54db
O11-07_S6_L002_R1_001.fastq.gz	a61fa9b7ef5c304d57d96cd2fe6f254b
O11-07_S6_L003_R1_001.fastq.gz	667981472f94218fd49a82f47a25681d
O11-07_S6_L004_R1_001.fastq.gz	23e412539515eb703cdf6238cae90170
O11-08_S11_L005_R1_001.fastq.gz	f06a652954c0c37d540fa817a52dec90
O11-08_S11_L006_R1_001.fastq.gz	82d22366b55b267ebb3c3fcff3c2a8d7
O11-08_S11_L007_R1_001.fastq.gz	dec74a2f4527b33452d611e7f3231798
O11-08_S11_L008_R1_001.fastq.gz	8d7b280b5824b73838beea1169b4b989
O11-09_S1_L001_R1_001.fastq.gz	fd0187644020c9030a6eae26eb75bc95
O11-09_S1_L002_R1_001.fastq.gz	4f4362a9bc5e59fcd507f92eebcb1508
O11-09_S1_L003_R1_001.fastq.gz	5fb6c11d5c20fd4b88a18bb1c089304f
O11-09_S1_L004_R1_001.fastq.gz	b5fe1d95cfbe87917419c440a0293099
O11-10_S6_L001_R1_001.fastq.gz	4ffb0193100538e9f85874896621d6c0
O11-10_S6_L002_R1_001.fastq.gz	a2dffe8a1a25539ff091d4e6e194266e
O11-10_S6_L003_R1_001.fastq.gz	c9b7360412ff2a476df9dd0bbc55c0e0
O11-10_S6_L004_R1_001.fastq.gz	3ac810a938c6778a4ae2af5df440310b
O11-11_S16_L005_R1_001.fastq.gz	ef1ac5764e290f1c1a45897b99d1d4b6
O11-11_S16_L006_R1_001.fastq.gz	09c357c6c1c075eb1992f18a1cb8f097
O11-11_S16_L007_R1_001.fastq.gz	f9eb49953e486d36043c14bc896750e6
O11-11_S16_L008_R1_001.fastq.gz	19fb6ea330cce43b87a36a311e88e05d
O11-12_S12_L005_R1_001.fastq.gz	4e39e562cc9e5905842ec55d74e0bb3d
O11-12_S12_L006_R1_001.fastq.gz	fb08b31d36e873ff159a35bb7950a9e3
O11-12_S12_L007_R1_001.fastq.gz	4f0792270d4c545c942a364204748a8f
O11-12_S12_L008_R1_001.fastq.gz	f9c951f8bd9a84a3cf24fd85f586d88e
O11-13_S11_L005_R1_001.fastq.gz	7b33592380c525d18dabd82662dce0e8
O11-13_S11_L006_R1_001.fastq.gz	a07221b248cb7dad83d893330ef0562e
O11-13_S11_L007_R1_001.fastq.gz	1979ff36852e5b093b80ddcf866b254f
O11-13_S11_L008_R1_001.fastq.gz	f0a10d60eb192580d7098e489f4f6f2c
O11-14_S5_L001_R1_001.fastq.gz	d496728a0e5bc41637cc4fdb0140f1af
O11-14_S5_L002_R1_001.fastq.gz	00e4e27690c8c2024f73889b9cb174db
O11-14_S5_L003_R1_001.fastq.gz	866c32164699c5e59f5ec34f2f4345f5
O11-14_S5_L004_R1_001.fastq.gz	664c96e9c0c635cb9101b2081a2d4d84
O11-15_S2_L001_R1_001.fastq.gz	22ad92fc356decbc21b43adbf4ad3b93
O11-15_S2_L002_R1_001.fastq.gz	5d77c1ee96bf8118bcf06c81e45c7dbe
O11-15_S2_L003_R1_001.fastq.gz	bca8b358a6ababa8693918d8ad3de424
O11-15_S2_L004_R1_001.fastq.gz	aa5a98065e281f420e48fc1f2434f6e7
O11-16_S15_L005_R1_001.fastq.gz	d3f4f9a4588aae31789a86cb9da2506e
O11-16_S15_L006_R1_001.fastq.gz	bc0d74542a75e3a288a2ae48a2f00435
O11-16_S15_L007_R1_001.fastq.gz	a7ac5738c5ffe8650512877c822826f4
O11-16_S15_L008_R1_001.fastq.gz	a8e02ed405c41b0bcfd3aadaa708f626
O13-10_S9_L005_R1_001.fastq.gz	2086d532a4c6566b93eb19e2958de31b
O13-10_S9_L006_R1_001.fastq.gz	6561a4c30fa3ef2abbc672c08726e534
